முத்து இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்கணேஷ் சுமித்ரா மற்றும் பலரும் நடித்துள்ளனர்
மு,435,595
த்,595,610
து,610,1000
இ,1245,1365
ய,1365,1495
க்,1495,1535
க,1535,1670
த்,1670,1715
தி,1715,1895
ல்,1895,2035
வெ,2380,2580
ளி,2580,2680
வ,2680,2790
ந்,2790,2865
த,2865,2905
இ,2905,3075
த்,3075,3140
தி,3140,3195
ரை,3195,3330
ப்,3330,3380
ப,3380,3480
ட,3480,3580
த்,3580,3675
தி,3675,3800
ல்,3800,3935
ஜெ,4235,4445
ய்,4445,4565
க,4565,4675
ணே,4675,4805
ஷ்,4805,4915
சு,4915,5080
மி,5080,5240
த்,5240,5305
ரா,5305,5505
ம,5505,5660
ற்,5660,5685
று,5685,5840
ம்,5840,6075
ப,6355,6475
ல,6475,6585
ரு,6585,6635
ம்,6635,6745
ந,6745,6905
டி,6905,7035
த்,7035,7090
து,7090,7195
ள்,7195,7275
ள,7275,7355
ன,7355,7455
ர்,7455,7490
