கோபாலகிருஷ்ணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ராஜன் மற்றும் பலரும் நடித்துள்ளனர்
கோ,420,605
பா,605,800
ல,800,895
கி,895,1015
ரு,1015,1100
ஷ்,1100,1245
ண,1245,1330
ன்,1330,1415
இ,1415,1465
ய,1465,1630
க்,1630,1650
க,1650,1790
த்,1790,1820
தி,1820,2025
ல்,2025,2160
வெ,2510,2710
ளி,2710,2805
வ,2805,2910
ந்,2910,2985
த,2985,3035
இ,3035,3195
த்,3195,3220
தி,3220,3320
ரை,3320,3460
ப்,3460,3515
ப,3515,3605
ட,3605,3705
த்,3705,3745
தி,3745,3940
ல்,3940,4065
ரா,4375,4690
ஜ,4690,4780
ன்,4780,4810
ம,4810,4980
ற்,4980,5030
று,5030,5195
ம்,5195,5210
ப,5210,5760
ல,5760,5885
ரு,5885,5990
ம்,5990,6005
ந,6005,6205
டி,6205,6325
த்,6325,6410
து,6410,6505
ள்,6505,6565
ள,6565,6675
ன,6675,6765
ர்,6765,6820
