அம்மாவை அழைத்து வைத்துக் கொண்டு நன்றாகப் பார்த்துக் கொள்ள வேண்டும் என்று ஆசை
அ,435,530
ம்,530,560
மா,560,775
வை,775,965
அ,965,1040
ழை,1040,1220
த்,1220,1295
து,1295,1585
வை,1885,2440
த்,2440,2530
து,2530,2620
க்,2620,2635
கொ,2635,2790
ண்,2790,2895
டு,2895,3195
ந,3450,3630
ன்,3630,3710
றா,3710,3885
க,3885,4005
ப்,4005,4040
பா,4040,4235
ர்,4235,4265
த்,4265,4285
து,4285,4425
க்,4425,4465
கொ,4465,4620
ள்,4620,4700
ள,4700,4785
வே,4785,4970
ண்,4970,5055
டு,5055,5095
ம்,5095,5315
எ,5590,5745
ன்,5745,5835
று,5835,5950
ஆ,5950,6090
சை,6090,6280
