சம்பந்தர் அப்பர் சுந்தரர் மூவரதும் பாடல் பெற்ற இத்தலம் புதுக்கோட்டை மாவட்டத்தில் அமைந்துள்ளது
ச,440,650
ம்,650,765
ப,765,835
ந்,835,915
த,915,990
ர்,990,1045
அ,1045,1150
ப்,1150,1215
ப,1215,1350
ர்,1350,1375
சு,1375,1575
ந்,1575,1650
த,1650,1725
ர,1725,1820
ர்,1820,1845
மூ,1845,2090
வ,2090,2180
ர,2180,2250
து,2250,2335
ம்,2335,2470
பா,2470,2665
ட,2665,2780
ல்,2780,2845
பெ,2845,3000
ற்,3000,3020
ற,3020,3185
இ,3185,3340
த்,3340,3370
த,3370,3500
ல,3500,3580
ம்,3580,3680
பு,3680,3825
து,3825,3910
க்,3910,3925
கோ,3925,4110
ட்,4110,4150
டை,4150,4340
மா,4340,4560
வ,4560,4635
ட்,4635,4700
ட,4700,4815
த்,4815,4845
தி,4845,4990
ல்,4990,5095
அ,5095,5195
மை,5195,5365
ந்,5365,5450
து,5450,5535
ள்,5535,5620
ள,5620,5650
து,5650,5810
